ATM_ID,Location,DateTime,CashBalance,R10Notes,R20Notes,R50Notes,R100Notes,R200Notes,WithdrawalAmount,DepositAmount,Downtime
ATM001,Sandton Mall,2026-08-01T09:00:00,119280.00,0,1,2,0,3,720.00,0.00,false
ATM001,Sandton Mall,2026-08-01T13:30:00,118320.00,4,1,0,1,4,960.00,0.00,false
ATM001,Sandton Mall,2026-08-01T17:20:00,118220.00,0,0,0,0,3,600.00,500.00,false
ATM001,Sandton Mall,2026-08-02T09:00:00,119240.00,1,1,3,1,1,480.00,1500.00,false
ATM001,Sandton Mall,2026-08-02T13:45:00,117800.00,0,2,2,1,6,1440.00,0.00,false
ATM001,Sandton Mall,2026-08-02T17:15:00,118080.00,2,0,2,0,3,720.00,1000.00,false
ATM001,Sandton Mall,2026-08-03T09:45:00,117280.00,1,2,3,0,3,800.00,0.00,false
ATM001,Sandton Mall,2026-08-03T13:20:00,117980.00,1,2,3,0,3,800.00,1500.00,false
ATM001,Sandton Mall,2026-08-03T17:45:00,116980.00,0,0,0,0,5,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-04T09:00:00,117580.00,0,0,0,0,2,400.00,1000.00,false
ATM001,Sandton Mall,2026-08-04T13:45:00,116580.00,1,2,1,3,3,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-04T17:15:00,117580.00,0,0,0,1,2,500.00,1500.00,false
ATM001,Sandton Mall,2026-08-05T09:10:00,117680.00,1,2,1,1,1,400.00,500.00,false
ATM001,Sandton Mall,2026-08-05T13:00:00,116680.00,3,1,1,7,1,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-05T17:10:00,115680.00,1,2,1,3,3,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-06T09:00:00,115480.00,0,0,2,3,4,1200.00,1000.00,false
ATM001,Sandton Mall,2026-08-06T13:30:00,115980.00,1,2,1,3,3,1000.00,1500.00,false
ATM001,Sandton Mall,2026-08-06T17:45:00,115580.00,0,0,0,0,2,400.00,0.00,false
ATM001,Sandton Mall,2026-08-07T09:10:00,114580.00,1,2,1,3,3,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-07T13:15:00,113980.00,0,0,0,2,2,600.00,0.00,false
ATM001,Sandton Mall,2026-08-07T17:10:00,114980.00,0,0,0,3,1,500.00,1500.00,false
ATM001,Sandton Mall,2026-08-08T09:30:00,114040.00,2,1,0,4,5,1440.00,500.00,false
ATM001,Sandton Mall,2026-08-08T13:15:00,115060.00,1,1,1,0,2,480.00,1500.00,false
ATM001,Sandton Mall,2026-08-08T17:00:00,114460.00,1,2,1,1,2,600.00,0.00,true
ATM001,Sandton Mall,2026-08-09T09:45:00,113460.00,3,1,3,2,3,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-09T13:30:00,112710.00,3,1,0,3,2,750.00,0.00,false
ATM001,Sandton Mall,2026-08-09T17:10:00,113710.00,1,2,1,2,1,500.00,1500.00,false
ATM001,Sandton Mall,2026-08-10T09:45:00,113590.00,0,1,0,4,1,620.00,500.00,false
ATM001,Sandton Mall,2026-08-10T13:45:00,113590.00,3,1,1,2,6,1500.00,1500.00,false
ATM001,Sandton Mall,2026-08-10T17:00:00,112590.00,1,2,3,0,4,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-11T09:00:00,113290.00,1,2,5,1,2,800.00,1500.00,false
ATM001,Sandton Mall,2026-08-11T13:00:00,113190.00,0,0,0,2,2,600.00,500.00,true
ATM001,Sandton Mall,2026-08-11T17:45:00,111990.00,2,4,2,6,2,1200.00,0.00,false
ATM001,Sandton Mall,2026-08-12T09:20:00,111890.00,0,0,0,2,2,600.00,500.00,false
ATM001,Sandton Mall,2026-08-12T13:00:00,111090.00,0,0,0,4,2,800.00,0.00,false
ATM001,Sandton Mall,2026-08-12T17:15:00,110490.00,0,0,0,2,2,600.00,0.00,false
ATM001,Sandton Mall,2026-08-13T09:20:00,109290.00,0,5,0,3,4,1200.00,0.00,false
ATM001,Sandton Mall,2026-08-13T13:30:00,109790.00,3,1,1,5,2,1000.00,1500.00,false
ATM001,Sandton Mall,2026-08-13T17:00:00,108990.00,1,2,3,2,2,800.00,0.00,false
ATM001,Sandton Mall,2026-08-14T09:15:00,107990.00,0,0,0,0,5,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-14T13:20:00,107790.00,1,2,3,2,4,1200.00,1000.00,false
ATM001,Sandton Mall,2026-08-14T17:30:00,107790.00,1,2,1,1,4,1000.00,1000.00,false
ATM001,Sandton Mall,2026-08-15T09:20:00,105810.00,2,3,2,6,6,1980.00,0.00,false
ATM001,Sandton Mall,2026-08-15T13:00:00,104490.00,0,6,0,2,5,1320.00,0.00,false
ATM001,Sandton Mall,2026-08-15T17:30:00,103670.00,0,1,2,3,2,820.00,0.00,false
ATM001,Sandton Mall,2026-08-16T09:45:00,102230.00,2,1,0,6,4,1440.00,0.00,false
ATM001,Sandton Mall,2026-08-16T13:20:00,103010.00,0,1,0,3,2,720.00,1500.00,false
ATM001,Sandton Mall,2026-08-16T17:15:00,101570.00,0,2,0,4,5,1440.00,0.00,false
ATM001,Sandton Mall,2026-08-17T09:45:00,101370.00,0,0,0,4,4,1200.00,1000.00,false
ATM001,Sandton Mall,2026-08-17T13:30:00,100370.00,0,0,0,4,3,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-17T17:15:00,99370.00,0,0,0,0,5,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-18T09:30:00,98570.00,1,2,1,1,3,800.00,0.00,false
ATM001,Sandton Mall,2026-08-18T13:30:00,98270.00,1,2,3,2,2,800.00,500.00,true
ATM001,Sandton Mall,2026-08-18T17:15:00,97870.00,3,1,1,1,1,400.00,0.00,false
ATM001,Sandton Mall,2026-08-19T09:45:00,97270.00,0,0,0,0,3,600.00,0.00,false
ATM001,Sandton Mall,2026-08-19T13:10:00,97170.00,0,0,0,0,3,600.00,500.00,false
ATM001,Sandton Mall,2026-08-19T17:15:00,96770.00,3,1,1,1,1,400.00,0.00,false
ATM001,Sandton Mall,2026-08-20T09:30:00,95450.00,0,1,2,4,4,1320.00,0.00,false
ATM001,Sandton Mall,2026-08-20T13:45:00,93470.00,1,1,1,3,8,1980.00,0.00,false
ATM001,Sandton Mall,2026-08-20T17:10:00,91490.00,1,1,1,5,7,1980.00,0.00,false
ATM001,Sandton Mall,2026-08-21T09:30:00,91290.00,3,1,1,3,4,1200.00,1000.00,false
ATM001,Sandton Mall,2026-08-21T13:10:00,90790.00,0,0,0,1,2,500.00,0.00,false
ATM001,Sandton Mall,2026-08-21T17:45:00,89990.00,1,2,1,1,3,800.00,0.00,false
ATM001,Sandton Mall,2026-08-22T09:20:00,88550.00,1,4,1,3,5,1440.00,0.00,false
ATM001,Sandton Mall,2026-08-22T13:45:00,87350.00,0,0,0,2,5,1200.00,0.00,false
ATM001,Sandton Mall,2026-08-22T17:45:00,86630.00,3,2,1,0,3,720.00,0.00,false
ATM001,Sandton Mall,2026-08-23T09:10:00,85190.00,2,1,4,4,4,1440.00,0.00,false
ATM001,Sandton Mall,2026-08-23T13:00:00,83990.00,2,4,2,0,5,1200.00,0.00,false
ATM001,Sandton Mall,2026-08-23T17:10:00,82790.00,0,0,0,4,4,1200.00,0.00,false
ATM001,Sandton Mall,2026-08-24T09:30:00,82290.00,0,0,0,3,1,500.00,0.00,false
ATM001,Sandton Mall,2026-08-24T13:00:00,81790.00,0,0,2,2,1,500.00,0.00,false
ATM001,Sandton Mall,2026-08-24T17:30:00,81390.00,1,2,1,1,1,400.00,0.00,false
ATM001,Sandton Mall,2026-08-25T09:30:00,79910.00,1,1,3,4,7,1980.00,500.00,true
ATM001,Sandton Mall,2026-08-25T13:45:00,78760.00,0,0,1,6,5,1650.00,500.00,false
ATM001,Sandton Mall,2026-08-25T17:45:00,78100.00,0,3,0,4,1,660.00,0.00,false
ATM001,Sandton Mall,2026-08-26T09:45:00,77100.00,1,2,1,3,3,1000.00,0.00,false
ATM001,Sandton Mall,2026-08-26T13:20:00,76100.00,1,2,1,3,3,1000.00,0.00,true
ATM001,Sandton Mall,2026-08-26T17:45:00,75500.00,1,2,1,3,1,600.00,0.00,false
ATM001,Sandton Mall,2026-08-27T09:30:00,73850.00,3,1,2,5,5,1650.00,0.00,false
ATM001,Sandton Mall,2026-08-27T13:45:00,74530.00,0,1,0,2,3,820.00,1500.00,false
ATM001,Sandton Mall,2026-08-27T17:20:00,72550.00,1,1,3,2,8,1980.00,0.00,false
ATM001,Sandton Mall,2026-08-28T09:30:00,71570.00,1,1,5,7,5,1980.00,1000.00,false
ATM001,Sandton Mall,2026-08-28T13:00:00,71910.00,2,2,0,0,3,660.00,1000.00,false
ATM001,Sandton Mall,2026-08-28T17:20:00,71430.00,1,1,1,3,8,1980.00,1500.00,false
ATM001,Sandton Mall,2026-08-29T09:00:00,71970.00,1,0,1,1,4,960.00,1500.00,false
ATM001,Sandton Mall,2026-08-29T13:20:00,72490.00,1,1,1,0,2,480.00,1000.00,false
ATM001,Sandton Mall,2026-08-29T17:00:00,71770.00,0,1,0,3,2,720.00,0.00,false
ATM001,Sandton Mall,2026-08-30T09:15:00,70330.00,2,1,2,9,2,1440.00,0.00,false
ATM001,Sandton Mall,2026-08-30T13:15:00,70110.00,0,1,0,3,2,720.00,500.00,false
ATM001,Sandton Mall,2026-08-30T17:15:00,68910.00,0,0,2,1,5,1200.00,0.00,false
ATM002,Sandton Mall,2026-08-01T09:15:00,109520.00,1,1,1,0,2,480.00,0.00,false
ATM002,Sandton Mall,2026-08-01T13:00:00,108560.00,0,3,2,0,4,960.00,0.00,false
ATM002,Sandton Mall,2026-08-01T17:10:00,107840.00,2,0,0,1,3,720.00,0.00,false
ATM002,Sandton Mall,2026-08-02T09:00:00,106400.00,2,1,0,2,6,1440.00,0.00,false
ATM002,Sandton Mall,2026-08-02T13:00:00,105440.00,2,2,0,1,4,960.00,0.00,false
ATM002,Sandton Mall,2026-08-02T17:10:00,105240.00,1,2,1,3,4,1200.00,1000.00,false
ATM002,Sandton Mall,2026-08-03T09:10:00,105840.00,1,2,1,1,1,400.00,1000.00,false
ATM002,Sandton Mall,2026-08-03T13:00:00,105340.00,1,2,1,0,2,500.00,0.00,false
